City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,87,5.99,overcast clouds
1,Novikovo,RU,51.1537,37.8879,15.71,94,16,5.97,few clouds
2,Esperance,AU,-33.8667,121.9,58.84,74,0,10.65,clear sky
3,Tomatlan,MX,19.9333,-105.25,94.39,23,100,9.86,overcast clouds
4,Lensk,RU,60.7253,114.9278,-26.68,100,46,2.17,scattered clouds
5,Auki,SB,-8.7676,160.7034,77.22,87,100,4.79,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,39.12,scattered clouds
7,Verkhnevilyuysk,RU,63.4453,120.3167,-22.04,100,100,2.04,overcast clouds
8,Hilo,US,19.7297,-155.09,76.24,85,3,4.0,clear sky
9,Longyearbyen,SJ,78.2186,15.6401,9.7,96,100,2.62,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,69.28,83,20,21.85,few clouds
11,Saint George,US,37.1041,-113.5841,70.36,18,0,5.01,clear sky
12,Tual,ID,-5.6667,132.75,80.96,77,100,8.77,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,40,16.11,scattered clouds
14,Rikitea,PF,-23.1203,-134.9692,78.26,72,76,12.1,light rain
15,Hobart,AU,-42.8794,147.3294,60.66,83,75,12.66,broken clouds
16,Xingyi,CN,24.1877,102.817,39.13,89,0,2.28,clear sky
17,Huacho,PE,-11.1067,-77.605,76.86,68,13,12.41,few clouds
18,Khatanga,RU,71.9667,102.5,-24.38,93,83,2.77,broken clouds
19,New Norfolk,AU,-42.7826,147.0587,60.3,70,90,0.98,overcast clouds
20,Pyapon,MM,16.2833,95.6833,65.97,43,78,7.65,broken clouds
21,Barrow,US,71.2906,-156.7887,-23.17,100,100,8.14,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,33.87,89,100,12.95,snow
24,Abu Zabad,SD,12.35,29.25,69.75,14,6,12.1,clear sky
25,Mataura,NZ,-46.1927,168.8643,48.47,97,27,2.95,scattered clouds
26,Kaitangata,NZ,-46.2817,169.8464,54.93,79,16,2.86,few clouds
27,Nambour,AU,-26.6333,152.95,68.11,96,72,3.62,broken clouds
28,Lorengau,PG,-2.0226,147.2712,80.33,79,100,1.54,overcast clouds
29,Adre,TD,13.4667,22.2,73.02,11,100,14.88,overcast clouds
30,Tiksi,RU,71.6872,128.8694,-12.95,93,11,11.83,few clouds
31,Dikson,RU,73.5069,80.5464,-4.09,87,100,25.34,overcast clouds
32,Ixtapa,MX,20.7,-105.2,90.5,22,100,6.26,overcast clouds
33,Codrington,AU,-38.2667,141.9667,59.86,89,61,6.78,broken clouds
34,Norfolk,US,42.1668,-71.2495,31.62,88,100,1.99,snow
35,Kismayo,SO,-0.3582,42.5454,77.41,82,69,15.84,broken clouds
36,Atuona,PF,-9.8,-139.0333,77.54,79,24,14.74,light rain
37,Ushuaia,AR,-54.8,-68.3,40.66,81,100,26.46,moderate rain
38,Kapaa,US,22.0752,-159.319,76.12,72,46,4.0,scattered clouds
39,Pozo Colorado,PY,-23.4923,-58.7972,96.1,27,83,6.76,broken clouds
40,Constanza,DE,47.6603,9.1758,37.71,80,0,1.99,clear sky
41,Kaduy,RU,59.2,37.15,30.24,90,100,10.22,overcast clouds
42,Chicama,PE,-7.8447,-79.1469,81.52,53,74,11.68,broken clouds
43,San Quintin,MX,30.4833,-115.95,76.03,20,9,7.52,clear sky
44,Baykit,RU,61.67,96.37,-16.76,100,96,3.71,overcast clouds
45,Faanui,PF,-16.4833,-151.75,80.82,74,100,15.28,light rain
46,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds
47,Camacupa,AO,-12.0167,17.4833,61.83,95,73,2.04,light rain
48,Provideniya,RU,64.3833,-173.3,-14.48,95,19,3.15,few clouds
49,Albany,US,42.6001,-73.9662,26.33,53,100,1.01,overcast clouds
50,Winnemucca,US,40.973,-117.7357,57.25,28,0,0.0,clear sky
51,Cherskiy,RU,68.75,161.3,-21.01,97,100,7.94,overcast clouds
52,Port Alfred,ZA,-33.5906,26.891,72.9,84,96,10.2,overcast clouds
